Artist 	 Album 	 Trackno 	 Title 	 ID3_artist 	 ID3_album 	 ID3_track 	 Artist_match 	 Album_match 	 track_match 
Don Rendall and Iain Carr	Shades of Blue, Dusk Fire	(1, None)	 Blue Mosque	Don Rendell/Ian Carr Quintet	Shades of Blue	Blue Mosque	False	False	True
Don Rendall and Iain Carr	Shades of Blue, Dusk Fire	(2, None)	 Latin Blue	Don Rendell/Ian Carr Quintet	Shades of Blue	Latin Blue	False	False	True
Don Rendall and Iain Carr	Shades of Blue, Dusk Fire	(3, None)	 Just Blue	Don Rendell/Ian Carr Quintet	Shades of Blue	Just Blue	False	False	True
Don Rendall and Iain Carr	Shades of Blue, Dusk Fire	(4, None)	 Sailin'	Don Rendell/Ian Carr Quintet	Shades of Blue	Sailin'	False	False	True
Don Rendall and Iain Carr	Shades of Blue, Dusk Fire	(5, None)		Don Rendell/Ian Carr Quintet	Shades of Blue	Garrison 64	False	False	False
Don Rendall and Iain Carr	Shades of Blue, Dusk Fire	(6, None)	 Blue Doom	Don Rendell/Ian Carr Quintet	Shades of Blue	Blue Doom	False	False	True
Don Rendall and Iain Carr	Shades of Blue, Dusk Fire	(7, None)	 Shades of Blue	Don Rendell/Ian Carr Quintet	Shades of Blue	Shades of Blue	False	False	True
Don Rendall and Iain Carr	Shades of Blue, Dusk Fire	(8, None)	 Big City Strut	Don Rendell/Ian Carr Quintet	Shades of Blue	Big City Strut	False	False	True
Artist 	 Album 	 Trackno 	 Title 	 ID3_artist 	 ID3_album 	 ID3_track 	 Artist_match 	 Album_match 	 track_match 
Don Rendall and Iain Carr	Shades of Blue, Dusk Fire	(1, None)	 Ruth	Don Rendell/Ian Carr Quintet	Dusk Fire	Ruth	False	False	True
Don Rendall and Iain Carr	Shades of Blue, Dusk Fire	(2, None)	 Tan Samfu	Don Rendell/Ian Carr Quintet	Dusk Fire	Tan Samfu	False	False	True
Don Rendall and Iain Carr	Shades of Blue, Dusk Fire	(3, None)	 Jubal	Don Rendell/Ian Carr Quintet	Dusk Fire	Jubal	False	False	True
Don Rendall and Iain Carr	Shades of Blue, Dusk Fire	(4, None)	 Spooks	Don Rendell/Ian Carr Quintet	Dusk Fire	Spooks	False	False	True
Don Rendall and Iain Carr	Shades of Blue, Dusk Fire	(5, None)	 Prayer	Don Rendell/Ian Carr Quintet	Dusk Fire	Prayer	False	False	True
Don Rendall and Iain Carr	Shades of Blue, Dusk Fire	(6, None)	 Hot Rod	Don Rendell/Ian Carr Quintet	Dusk Fire	Hot Rod	False	False	True
Don Rendall and Iain Carr	Shades of Blue, Dusk Fire	(7, None)	 Dusk Fire	Don Rendell/Ian Carr Quintet	Dusk Fire	Dusk Fire	False	False	True
Artist 	 Album 	 Trackno 	 Title 	 ID3_artist 	 ID3_album 	 ID3_track 	 Artist_match 	 Album_match 	 track_match 
Artist 	 Album 	 Trackno 	 Title 	 ID3_artist 	 ID3_album 	 ID3_track 	 Artist_match 	 Album_match 	 track_match 
Artist 	 Album 	 Trackno 	 Title 	 ID3_artist 	 ID3_album 	 ID3_track 	 Artist_match 	 Album_match 	 track_match 
Don Wilkerson	Preach Brother 	(1, None)	Weenie	Don Wilkerson	Preach Brother!	Jeanie-Weenie	True	False	False
Don Wilkerson	Preach Brother 	(2, None)	 Homesick Blues	Don Wilkerson	Preach Brother!	Homesick Blues	True	False	True
Don Wilkerson	Preach Brother 	(3, None)	 Dem Tambourines	Don Wilkerson	Preach Brother!	Dem Tambourines	True	False	True
Don Wilkerson	Preach Brother 	(4, None)	 Camp Meetin'	Don Wilkerson	Preach Brother!	Camp Meetin'	True	False	True
Don Wilkerson	Preach Brother 	(5, None)	 The Eldorado Shuffle	Don Wilkerson	Preach Brother!	The Eldorado Shuffle	True	False	True
Don Wilkerson	Preach Brother 	(6, None)	 Pigeon Peas	Don Wilkerson	Preach Brother!	Pigeon Peas	True	False	True
Artist 	 Album 	 Trackno 	 Title 	 ID3_artist 	 ID3_album 	 ID3_track 	 Artist_match 	 Album_match 	 track_match 
Artist 	 Album 	 Trackno 	 Title 	 ID3_artist 	 ID3_album 	 ID3_track 	 Artist_match 	 Album_match 	 track_match 
Elvin Jones	Mr. Jones	(1, None)	 One's Native Place	Elvin Jones	Mr. Jones	One's Native Place	True	True	True
Elvin Jones	Mr. Jones	(2, None)	 GEE GEE	Elvin Jones	Mr. Jones	GEE GEE	True	True	True
Elvin Jones	Mr. Jones	(3, None)	 Jones	Elvin Jones	Mr. Jones	Mr. Jones	True	True	False
Elvin Jones	Mr. Jones	(4, None)	 That's It	Elvin Jones	Mr. Jones	What's Up - That's It	True	True	False
Elvin Jones	Mr. Jones	(5, None)	 Soultrane	Elvin Jones	Mr. Jones	Soultrane	True	True	True
Elvin Jones	Mr. Jones	(6, None)	 New Breed	Elvin Jones	Mr. Jones	New Breed	True	True	True
Artist 	 Album 	 Trackno 	 Title 	 ID3_artist 	 ID3_album 	 ID3_track 	 Artist_match 	 Album_match 	 track_match 
Artist 	 Album 	 Trackno 	 Title 	 ID3_artist 	 ID3_album 	 ID3_track 	 Artist_match 	 Album_match 	 track_match 
Elvin Jones	The Ultimate	(1, None)	 In The Truth	Elvin Jones	The Ultimate	In The Truth	True	True	True
Elvin Jones	The Ultimate	(2, None)	 What Is This	Elvin Jones	The Ultimate	What Is This?	True	True	False
Elvin Jones	The Ultimate	(3, None)	 Ascendant	Elvin Jones	The Ultimate	Ascendant	True	True	True
Elvin Jones	The Ultimate	(4, None)	 Yesterdays	Elvin Jones	The Ultimate	Yesterdays	True	True	True
Elvin Jones	The Ultimate	(5, None)	 Sometimes Joie	Elvin Jones	The Ultimate	Sometimes Joie	True	True	True
